-12.511	0.008
-8.977	-0.005
-8.977	-0.011
-8.977	-0.015
-8.977	-0.018
-8.977	-0.021
-8.977	-0.020
-8.977	-0.023
-8.977	-0.032
-8.977	-0.031
-8.977	-0.033
-8.977	-0.035
-8.977	-0.048
-8.977	-0.050
-8.977	-0.051
-8.977	-0.054
-8.977	-0.059
-8.977	-0.059
-8.975	-0.073
-8.975	-0.057
-8.975	-0.064
-8.975	-0.079
-8.975	-0.079
-8.975	-0.077
-8.975	-0.084
-8.975	-0.082
-8.975	-0.090
-8.975	-0.096
-8.975	-0.104
-8.975	-0.102
-8.975	-0.117
-8.975	-0.114
-8.975	-0.111
-8.975	-0.106
-8.949	-0.103
-8.949	-0.112
-8.949	-0.119
-8.949	-0.115
-8.949	-0.109
-8.949	-0.123
-8.949	-0.117
-8.949	-0.117
-8.949	-0.110
-8.949	-0.116
-8.949	-0.119
-8.949	-0.127
-8.949	-0.119
-8.949	-0.118
-8.949	-0.105
-8.949	-0.130
-8.949	-0.123
-8.951	-0.121
-8.951	-0.124
-8.951	-0.120
-8.951	-0.126
-8.951	-0.133
-8.951	-0.113
-8.951	-0.115
-8.951	-0.119
-8.951	-0.124
-8.951	-0.117
-8.951	-0.113
-8.951	-0.115
-8.951	-0.112
-8.951	-0.122
-8.951	-0.113
-8.952	-0.114
-8.952	-0.118
-8.952	-0.121
-8.952	-0.110
-8.952	-0.120
-8.952	-0.124
-8.952	-0.115
-8.952	-0.119
-8.952	-0.113
-8.952	-0.105
-8.952	-0.113
-8.952	-0.114
-8.952	-0.117
-8.952	-0.109
-8.952	-0.104
-8.952	-0.112
-8.952	-0.115
-8.954	-0.113
-8.954	-0.097
-8.954	-0.104
-8.954	-0.121
-8.954	-0.114
-8.954	-0.101
-8.954	-0.110
-8.954	-0.115
-8.954	-0.112
-8.954	-0.121
-8.954	-0.131
-8.954	-0.118
-8.917	-0.121
-8.917	-0.118
-8.917	-0.116
-8.917	-0.118
-8.917	-0.112
-8.917	-0.123
-8.917	-0.119
-8.917	-0.117
-8.917	-0.117
-8.917	-0.115
-8.917	-0.116
-8.917	-0.109
-8.917	-0.120
