60.000	-0.000
27.459	0.015
27.459	-0.011
27.459	-0.020
27.459	-0.024
27.459	-0.038
27.459	-0.042
27.459	-0.078
27.459	-0.034
27.459	-0.059
27.459	-0.074
27.459	-0.088
27.459	-0.103
27.459	-0.115
27.459	-0.130
27.539	-0.151
27.539	-0.166
27.539	-0.182
27.539	-0.198
27.539	-0.219
27.539	-0.231
27.539	-0.250
27.539	-0.265
27.539	-0.278
27.539	-0.301
27.539	-0.316
27.539	-0.333
27.539	-0.355
27.539	-0.376
27.539	-0.399
27.715	-0.431
27.715	-0.473
27.715	-0.465
27.715	-0.480
27.715	-0.497
27.715	-0.498
27.715	-0.512
27.715	-0.500
27.715	-0.558
27.715	-0.541
27.715	-0.555
27.715	-0.564
27.715	-0.581
27.715	-0.591
27.715	-0.663
27.715	-0.534
27.762	-0.586
27.762	-0.611
27.762	-0.625
27.762	-0.629
27.762	-0.637
27.762	-0.643
27.762	-0.645
27.762	-0.656
27.762	-0.656
27.762	-0.671
27.762	-0.681
27.762	-0.693
27.762	-0.696
27.762	-0.705
27.762	-0.756
27.762	-0.614
27.762	-0.670
27.630	-0.693
27.630	-0.697
27.630	-0.742
27.630	-0.622
27.630	-0.656
27.630	-0.679
27.630	-0.685
27.630	-0.685
27.630	-0.698
27.630	-0.675
27.630	-0.670
27.630	-0.650
27.630	-0.687
27.630	-0.638
27.630	-0.648
27.630	-0.635
27.630	-0.628
27.604	-0.607
27.604	-0.583
27.604	-0.568
27.604	-0.528
27.604	-0.482
27.604	-0.427
27.604	-0.363
27.604	-0.272
27.604	-0.225
27.604	-0.180
27.604	-0.092
27.604	-0.167
27.604	-0.051
27.604	0.017
27.604	0.075
27.604	0.159
27.604	0.098
27.602	0.190
27.602	0.239
27.602	0.284
27.602	0.308
27.602	0.354
27.602	0.377
27.602	0.420
27.602	0.472
27.602	0.430
27.602	0.511
27.602	0.587
27.602	0.639
27.602	0.711
26.673	0.743
26.673	0.796
26.673	0.845
26.673	0.873
26.673	0.867
26.673	0.861
26.673	0.836
26.673	0.791
26.673	0.793
26.673	0.794
26.673	0.794
26.673	0.785
26.673	0.792
26.673	0.778
26.673	0.774
26.673	0.765
26.673	0.769
26.339	0.765
26.339	0.760
26.339	0.760
26.339	0.777
26.339	0.788
26.339	0.802
26.339	0.830
26.339	0.838
26.339	0.836
26.339	0.845
26.339	0.830
26.339	0.824
26.339	0.805
26.339	0.795
26.339	0.780
26.113	0.754
26.113	0.736
26.113	0.735
26.113	0.723
26.113	0.735
26.113	0.744
26.113	0.751
26.113	0.765
26.113	0.751
26.113	0.735
26.113	0.719
26.113	0.726
26.113	0.726
26.113	0.743
26.113	0.748
26.113	0.754
26.113	0.754
26.200	0.755
26.200	0.770
26.200	0.777
26.200	0.821
26.200	0.846
26.200	0.893
26.200	0.946
26.200	0.983
26.200	1.017
26.200	1.044
26.200	1.080
26.200	1.123
26.200	1.129
26.200	1.157
26.200	1.187
27.736	1.239
27.736	1.283
27.736	1.308
27.736	1.344
27.736	1.359
27.736	1.375
27.736	1.395
27.736	1.423
27.736	1.443
27.736	1.443
27.736	1.454
27.736	1.448
27.736	1.454
27.736	1.484
27.736	1.500
27.736	1.512
27.736	1.526
29.091	1.528
29.091	1.503
29.091	1.492
29.091	1.457
29.091	1.413
29.091	1.382
29.091	1.357
29.091	1.336
29.091	1.327
29.091	1.304
29.091	1.306
29.091	1.315
29.091	1.318
29.091	1.304
29.091	1.303
29.091	1.285
29.230	1.271
29.230	1.273
29.230	1.270
29.230	1.274
29.230	1.287
29.230	1.315
29.230	1.361
29.230	1.411
29.230	1.427
29.230	1.453
29.230	1.452
29.230	1.475
29.230	1.492
29.230	1.492
29.230	1.510
29.230	1.532
29.230	1.549
28.849	1.576
28.849	1.602
28.849	1.629
28.849	1.657
28.849	1.670
28.849	1.693
28.849	1.718
28.849	1.733
28.849	1.725
28.849	1.729
28.849	1.732
28.849	1.730
28.849	1.735
28.849	1.744
28.849	1.754
27.799	1.765
27.799	1.775
27.799	1.780
27.799	1.766
27.799	1.752
27.799	1.724
27.799	1.724
27.799	1.712
27.799	1.704
27.799	1.694
27.799	1.696
27.799	1.710
27.799	1.700
27.799	1.817
27.799	1.527
27.799	1.607
26.482	1.635
26.482	1.632
26.482	1.630
26.482	1.618
26.482	1.570
26.482	1.550
26.482	1.524
26.482	1.505
26.482	1.486
26.482	1.474
26.482	1.454
26.482	1.509
26.482	1.313
26.482	1.331
26.482	1.326
26.482	1.295
25.823	1.264
25.823	1.243
25.823	1.197
25.823	1.186
25.823	1.163
25.823	1.138
25.823	1.128
25.823	1.094
25.823	1.050
25.823	0.992
25.823	0.933
25.823	0.800
25.823	1.045
25.823	0.880
25.823	0.827
25.823	0.784
25.823	0.738
24.686	0.687
24.686	0.653
24.686	0.619
24.686	0.575
24.686	0.547
24.686	0.491
24.686	0.435
24.686	0.376
24.686	0.286
24.686	0.409
24.686	0.295
24.686	0.252
24.686	0.211
24.686	0.162
24.686	0.101
23.511	0.077
23.511	0.019
23.511	-0.027
23.511	-0.067
23.511	-0.130
23.511	-0.163
23.511	-0.206
23.511	-0.251
23.511	-0.305
23.511	-0.345
23.511	-0.381
23.511	-0.429
23.511	-0.462
23.511	-0.503
23.511	-0.555
23.511	-0.582
23.511	-0.622
22.634	-0.658
22.634	-0.682
22.634	-0.725
22.634	-0.747
22.634	-0.834
22.634	-0.692
22.634	-0.769
22.634	-0.800
22.634	-0.826
22.634	-0.864
22.634	-0.888
22.634	-0.899
22.634	-0.909
22.634	-0.936
